"Position","age","num_pieces","name","price","alternative_text","link"
1,"10+",267,"Harry Potter™ en Cho Chang","€19,99","primary","https://www.lego.com/nl-nl/product/harry-potter--cho-chang-40616"
2,"10+",601,"Leraren van Zweinstein™","€39,99","primary","https://www.lego.com/nl-nl/product/professors-of-hogwarts-40560"
3,"10+",155,"EVE & WALL•E","€14,99","primary","https://www.lego.com/nl-nl/product/eve--walle-40619"
4,"10+",262,"Draco Malfidus™ en Carlo Kannewasser","€19,99","primary","https://www.lego.com/nl-nl/product/draco-malfoy--cedric-diggory-40617"
5,"10+",466,"Harry, Hermelien, Ron & Hagrid™","€24,99","primary","https://www.lego.com/nl-nl/product/harry-hermione-ron--hagrid-40495"
6,"10+",501,"Disney's 100e verjaardag","€39,99","primary","https://www.lego.com/nl-nl/product/disney-100th-celebration-40622"
7,"10+",250,"Romeo Wolkenveldt™ en Nymphadora Tops™","€19,99","primary","https://www.lego.com/nl-nl/product/kingsley-shacklebolt--nymphadora-tonks-40618"
8,"10+",549,"Slag om Endor™ helden","€39,99","primary","https://www.lego.com/nl-nl/product/battle-of-endor-heroes-40623"
9,"10+",410,"Vaiana & Merida","€19,99","primary","https://www.lego.com/nl-nl/product/moana--merida-40621"
10,"10+",131,"Miles 'Tails' Prower","€9,99","primary","https://www.lego.com/nl-nl/product/miles-tails-prower-40628"
11,"10+",348,"Gandalf de Grijze™ & Balrog™","€19,99","primary","https://www.lego.com/nl-nl/product/gandalf-the-grey--balrog-40631"
12,"10+",184,"Frodo™ & Gollem™","€14,99","primary","https://www.lego.com/nl-nl/product/frodo--gollum-40630"
13,"10+",139,"Sonic the Hedgehog™","€9,99","primary","https://www.lego.com/nl-nl/product/sonic-the-hedgehog-40627"
14,"10+",226,"Knabbel & Babbel","€19,99","primary","https://www.lego.com/nl-nl/product/tbd-disney-1-40550"
15,"10+",90,"Donald Duck","€9,99","primary","https://www.lego.com/nl-nl/product/donald-duck-40377"
16,"10+",100,"Lama","€9,99","primary","https://www.lego.com/nl-nl/product/llama-40625"
17,"10+",260,"Obi-Wan Kenobi™ & Darth Vader™","€19,99","primary","https://www.lego.com/nl-nl/product/tbd-sw2-40547"
18,"10+",239,"Leeuwendanser","€9,99","primary","https://www.lego.com/nl-nl/product/lion-dance-guy-40540"
19,"10+",261,"Aragorn™ & Arwen™","€19,99","primary","https://www.lego.com/nl-nl/product/aragorn--arwen-40632"
20,"10+",296,"Woody & Bo Peep","€19,99","primary","https://www.lego.com/nl-nl/product/confts2-40553"
21,"10+",214,"Goofy en Pluto","€14,99","primary","https://www.lego.com/nl-nl/product/goofy--pluto-40378"
22,"10+",320,"Cruella & Maleficent","€19,99","primary","https://www.lego.com/nl-nl/product/cruella--maleficent-40620"
23,"10+",110,"Katrien Duck","€9,99","primary","https://www.lego.com/nl-nl/product/daisy-duck-40476"
24,"10+",246,"Jake Sully en zijn avatar","€19,99","primary","https://www.lego.com/nl-nl/product/tbd-coconut-40554"
25,"10+",340,"Dagobert Duck, Kwik, Kwek en Kwak","€24,99","primary","https://www.lego.com/nl-nl/product/scrooge-mcduck-huey-dewey--louie-40477"
26,"10+",81,"Zombie","€9,99","primary","https://www.lego.com/nl-nl/product/brickheadz-12-gaming-minecraft-3-40626"
27,"10+",86,"Alex","€9,99","primary","https://www.lego.com/nl-nl/product/alex-40624"
28,"10+",295,"De Mandalorian™ en het Kind","€19,99","primary","https://www.lego.com/nl-nl/product/the-mandalorian-the-child-75317"
29,"10+",164,"Ahsoka Tano™","€9,99","primary","https://www.lego.com/nl-nl/product/ahsoka-tano-40539"
30,"10+",152,"Tusken Raider™","€9,99","primary","https://www.lego.com/nl-nl/product/tusken-raider-40615"
31,"10+",530,"Maak mij van stenen – FC Barcelona","€19,99","primary","https://www.lego.com/nl-nl/product/conf-sport-2-40542"
32,"10+",530,"Maak mij van stenen – Manchester United","€19,99","primary","https://www.lego.com/nl-nl/product/conf-sport-1-40541"
33,"10+",189,"Groot & Rocket",,"primary","https://www.lego.com/nl-nl/product/groot-rocket-41626"
34,"10+",309,"Belle Bottom, Kevin en Bob","€19,99","primary","https://www.lego.com/nl-nl/product/tbd-conf-bh-ip-2-and-buddies-2-40421"
35,"10+",161,"Boba Fett™",,"primary","https://www.lego.com/nl-nl/product/boba-fett-41629"
36,"10+",205,"Road Runner & Wile E. Coyote",,"primary","https://www.lego.com/nl-nl/product/looney-tunes-40559"
37,"10+",708,"Maak mij van stenen",,"primary","https://www.lego.com/nl-nl/product/go-brick-me-41597"
38,"10+",109,"Mickey Mouse",,"primary","https://www.lego.com/nl-nl/product/mickey-mouse-41624"
39,"10+",114,"Buzz Lightyear",,"primary","https://www.lego.com/nl-nl/product/confts1-40552"
40,"10+",150,"Valentijnsbeer",,"primary","https://www.lego.com/nl-nl/product/valentine-s-bear-40379"
41,"10+",193,"Jack Skellington & Sally",,"primary","https://www.lego.com/nl-nl/product/jack-skellington-sally-41630"
42,"10+",130,"Elsa",,"primary","https://www.lego.com/nl-nl/product/elsa-41617"
43,"8+",252,"Dalmatiër",,"primary","https://www.lego.com/nl-nl/product/dalmatian-40479"
44,"8+",237,"Franse buldog",,"primary","https://www.lego.com/nl-nl/product/pets---french-bulldog-40544"
45,"10+",116,"Beast",,"primary","https://www.lego.com/nl-nl/product/beast-41596"
46,"10+",215,"Luke Skywalker™ & Yoda™",,"primary","https://www.lego.com/nl-nl/product/luke-skywalker-yoda-41627"
47,"10+",240,"Kylo Ren™ en Sith Trooper™",,"primary","https://www.lego.com/nl-nl/product/kylo-ren-sith-trooper-75232"
48,"10+",151,"Halloween-heks",,"primary","https://www.lego.com/nl-nl/product/halloween-witch-40272"
49,"10+",215,"Homer Simpson & Krusty de Clown",,"primary","https://www.lego.com/nl-nl/product/homer-simpson-krusty-the-clown-41632"
50,"10+",209,"Tactical Batman™ & Superman™",,"primary","https://www.lego.com/nl-nl/product/tactical-batman-superman-41610"
51,"10+",306,"Bruid","€12,99","primary","https://www.lego.com/nl-nl/product/wedding-bride-40383"
52,"10+",122,"The Flash™",,"primary","https://www.lego.com/nl-nl/product/the-flash-41598"
53,"10+",147,"Valentijnspuppy",,"primary","https://www.lego.com/nl-nl/product/valentine-s-puppy-40349"
54,"10+",108,"Frankenstein",,"primary","https://www.lego.com/nl-nl/product/frankenstein-40422"
55,"10+",249,"Panda's voor Chinees nieuwjaar",,"primary","https://www.lego.com/nl-nl/product/chinese-new-year-pandas-40466"
56,"8+",247,"Duitse herder",,"primary","https://www.lego.com/nl-nl/product/german-shepherd-40440"
57,"10+",113,"Star-Lord",,"primary","https://www.lego.com/nl-nl/product/star-lord-41606"
58,"16+",578,"Eerbetoon aan de Spice Girls",,"primary","https://www.lego.com/nl-nl/product/spice-girls-tribute-40548"
59,"8+",261,"Parkiet",,"primary","https://www.lego.com/nl-nl/product/budgie-40443"
