"Position","product_link","age","number_of_pieces","title","price","image_link","product_description"
1,"https://www.lego.com/nl-nl/product/professors-of-hogwarts-40560","10+",601,"Leraren van Zweinstein™","€39,99","https://www.lego.com/cdn/cs/set/assets/blt8c72d4089c3dad47/40560.png","Dit is een betoverende verrassing voor fans van de Harry Potter™ films van 10 jaar en ouder. De set LEGO® BrickHeadz™ Leraren van Zweinstein™ (40560) bevat 4 leuke verzamelmodellen van beroemde leraren in BrickHeadz vorm. De figuren zijn ideaal om mee te spelen en neer te zetten en zijn voorzien van allerlei authentieke details: professor Sneep™ draagt een zwarte mantel, professor Anderling™ heeft een groene jurk, een heksenhoed en goudkleurige veren, de figuur van professor Dolleman heeft een vreemd, bijzonder oog en professor Zwamdrift heeft een kleurige hoofdband om. Cadeau voor Harry Potter™ fans - LEGO® BrickHeadz™ Leraren van Zweinstein™ (40560) bevat bouwbare modellen van de professoren Sneep™, Anderling™, Dolleman en Zwamdrift voor heksen en toveraars vanaf 10 jaar Authentieke details - Sneep draagt zijn zwarte mantel, Anderling heeft een groene jurk, heksenhoed en goudkleurige veren, Dolleman heeft een vreemd, bijzonder oog en Zwamdrift heeft een kleurige hoofdband om Ontwerp om mee te spelen en neer te zetten - de 4 personages zijn ca. 8 cm hoog en hebben elk een eigen bouwplaat om ze eenvoudig neer te kunnen zetten. Geweldig als cadeau voor een verjaardag, de feestdagen of zomaar tussendoor"
2,"https://www.lego.com/nl-nl/product/harry-hermione-ron-hagrid-40495","10+",466,"Harry, Hermelien, Ron & Hagrid™","€24,99","https://www.lego.com/cdn/cs/set/assets/bltbc78df8e2ce91566/40495.jpg","LEGO® BrickHeadz™ versies van 4 van de bekendste personages uit de Harry Potter™ films: Harry Potter, Hermelien Griffel™, Ron Wemel™ en Rubeus Hagrid™. Beroemde figuren - met de LEGO® BrickHeadz™ Harry, Hermelien, Ron & Hagrid™ (40495) bouwset kunnen kinderen gedetailleerde LEGO BrickHeadz modellen van de 4 populaire Zweinstein™ personages namaken. Bouwen, spelen en neerzetten - verras LEGO® bouwers en Harry Potter™ fans van 10 jaar en ouder met dit creatieve bouwcadeau. Opvallende modellen - deze 466-delige set bevat een ca. 9 cm hoog model van Hagrid™. De 3 leerlingen zijn elk ca. 5 cm hoog."
3,"https://www.lego.com/nl-nl/product/chip-dale-40550","10+",226,"Knabbel & Babbel","€19,99","https://www.lego.com/cdn/cs/set/assets/blt0bac66ed0828e8ef/40550.png","Keer terug naar je jeugd met deze leuke LEGO® BrickHeadz™ bouwfiguren van de schattige Disney eekhoorns Knabbel & Babbel (40550), een geweldig cadeau voor kinderen vanaf 10 jaar. Ze zullen weg zijn van de authentieke details in de kleding uit de serie Knabbel en Babbel: Rescue Rangers. die de twee eekhoorns elk een eigen karakter geven. Deze schattige bouwmodellen zijn inclusief bouwplaten om ze als blikvanger neer te kunnen zetten en vormen een aanwinst voor de verzameling van elke tekenfilmfan. Tekenfilmpersonages van LEGO stenen - bouwbare LEGO® BrickHeadz™ | Disney Knabbel & Babbel (40550) figuren, elk in hun kenmerkende kleding uit Disney's Knabbel en Babbel Rescue Rangers Vrolijke blikvanger - dit 226-delige LEGO® | Disney bouwspeelgoed voor kinderen vanaf 10 jaar bevat stapsgewijze bouwinstructies en bouwplaten om de modellen op een mooi plekje neer te zetten Leuk cadeau-idee - deze creatieve LEGO® bouwfiguren zijn ca. 9 cm hoog, 4 cm breed en 4 cm diep. Geef de set als verrassing cadeau aan een tekenfilmfan of een liefhebber van Knabbel en Babbel"
4,"https://www.lego.com/nl-nl/product/woody-and-bo-peep-40553","10+",296,"Woody & Bo Peep","€19,99","https://www.lego.com/cdn/cs/set/assets/blt2beab7732a79b586/40553.png","Zorg dat je twee favoriete filmpersonages altijd in de buurt zijn met deze LEGO® BrickHeadz™ bouwfiguren van Woody & Bo Peep (40553) uit Disney en Pixar's Toy Story en Toy Story 4. Deze set is een origineel cadeau voor kinderen vanaf 10 jaar, die weg zullen zijn van de authentieke details zoals de bekende cowboy-outfit van Woody en de schattige strik en herdersstaf van Bo Peep. Deze coole bouwmodellen zijn inclusief bouwplaten om ze op een mooi plekje neer te zetten en vormen een unieke aanwinst voor de verzameling van elke Toy Story fan. Disney personages in LEGO® BrickHeadz™ stijl - bouwbare LEGO BrickHeadz figuren van Disney en Pixar's Woody & Bo Peep (40553) in hun bekende outfits uit de film, met karakteristieke details Grappige blikvangers - dit 296-delige LEGO® | Disney en Pixar bouwspeelgoed voor kinderen vanaf 10 jaar bevat stapsgewijze bouwinstructies en bouwplaten om de modellen op een mooi plekje neer te zetten Cadeau-idee - de grootste bouwbare LEGO® figuur is ca. 9 cm hoog, 4 cm breed en 5 cm diep. Geef de set cadeau als leuke verrassing voor een fan van Disney en Pixar's Toy Story"
5,"https://www.lego.com/nl-nl/product/goofy-pluto-40378","10+",214,"Goofy en Pluto","€14,99","https://www.lego.com/cdn/cs/set/assets/blt4306c0eefd62f30f/40378.jpg","Deze Goofy en Pluto set (40378) met 2 klassieke Disney-figuren mag niet ontbreken in de collectie van LEGO® BrickHeadz™ verzamelaars. Goofy draagt zijn bekende coltrui en hoge groene hoed. Naast hem staat de speelse Pluto. Deze 2 lieve Disney-vrienden worden geleverd met stevige bodemplaten, waardoor je ze makkelijk kunt neerzetten. Geef ze samen een mooi plekje of zet ze naast andere BrickHeadz modellen. Verzamelaars van LEGO BrickHeadz kunnen elementen van verschillende sets combineren om leuke, zelfverzonnen personages te creëren. Met deze verzamelset kunnen kinderen leuke LEGO® BrickHeadz™ modellen bouwen van 2 van de meest herkenbare Disney-personages: Goofy en Pluto. De set is een geweldig cadeau voor LEGO® en Disney fans en biedt kinderen vanaf 10 jaar een leuke bouw- en speelervaring die bij hun leeftijd past. Goofy is ruim 8 cm en Pluto ruim 5 cm lang. Deze 214-delige bouwset stimuleert de creativiteit optimaal doordat kinderen de figuren kunnen bouwen, neerzetten en ermee kunnen spelen."
6,"https://www.lego.com/nl-nl/product/ahsoka-tano-40539","10+",164,"Ahsoka Tano™","€9,99","https://www.lego.com/cdn/cs/set/assets/bltad9845009a4ea9af/40539.png","Breng met deze 150e LEGO® BrickHeadz™ uitgave een ode aan een dappere Jedi met deze bouwbare figuur van het Star Wars: The Clone Wars personage Ahsoka Tano (40539). Een superleuk cadeau voor kinderen vanaf 10 jaar die van authentieke details houden, zoals de Star Wars: The Clone Wars outfit en 2 blauwe lichtzwaarden. Dit geweldige, kleine bouwspeelgoed is inclusief een bouwplaat, zodat je het model op een mooi plekje kunt neerzetten - een opvallende aanwinst voor de verzameling van elke Star Wars™ fan. Ahsoka Tano in LEGO® BrickHeadz™ stijl - een bouwbare LEGO BrickHeadz figuur van Jedi-held Ahsoka Tano (40539) in een Star Wars: The Clone Wars outfit met 2 blauwe lichtzwaarden Kleurrijke blikvanger - dit 164-delige LEGO® Star Wars™ bouwspeelgoed voor kinderen vanaf 10 jaar bevat stapsgewijze bouwinstructies en een bouwplaat om het model op een mooi plekje neer te zetten Een superleuk cadeau - dit creatieve bouwspeelgoed is ca. 9 cm hoog, 5 cm breed en 7 cm diep. Verras een Star Wars™ fan met dit cadeau voor een verjaardag, de feestdagen of een andere gelegenheid"
7,"https://www.lego.com/nl-nl/product/donald-duck-40377","10+",90,"Donald Duck","€9,99","https://www.lego.com/cdn/cs/set/assets/blta5f3e2a24976f32c/40377.jpg","Fans van LEGO® BrickHeadz™ en klassieke Disney personages zullen dit model van Donald Duck (40377) geweldig vinden. Bewonder Donalds schattige zeemansshirt, pet en strikje, en zijn oranje snavel, poten en voeten. Bij de schattige eend zit bovendien een stevige bodemplaat waardoor je hem zowel alleen als samen met andere klassieke BrickHeadz modellen eenvoudig kunt neerzetten. LEGO BrickHeadz verzamelaars zullen het fantastisch vinden om verschillende elementen van de modellen met elkaar te combineren en zo hun eigen, te gekke hybride figuren te maken. Met deze verzamelset kunnen kinderen een leuk LEGO® BrickHeadz™ model van Donald Duck bouwen met alle iconische details. De set is een geweldig cadeau voor LEGO® en Disney fans, en biedt kinderen vanaf 10 jaar een leuke bouw- en speelervaring die bij hun leeftijd past. Dit bouwbare Donald Duck speelgoed van ca. 8 cm hoog bestaat uit 90 onderdelen. Kinderen beleven creatief bouw- en speelplezier en kunnen het model ergens neerzetten"
8,"https://www.lego.com/nl-nl/product/daisy-duck-40476","10+",110,"Katrien Duck","€9,99","https://www.lego.com/cdn/cs/set/assets/blt80869a7768d1d207/40476.jpg","Verras een Disney fan met deze schattige LEGO® BrickHeadz™ | Disney Katrien Duck (40476) set die je kunt bouwen en neerzetten. De gedetailleerde figuur staat op een BrickHeadz standaard en is er klaar voor om de wereld te veroveren of een praatje te maken met haar grote liefde Donald Duck. Het model heeft een bouwbare strik en een nieuw gedrukt detail op het bovenlichaam. Deze set is een perfect cadeau voor Disney fans, BrickHeadz verzamelaars en liefhebbers van stripfiguren. Bouwset om te verzamelen met een cool LEGO® BrickHeadz™ model van Disney's beroemde Katrien Duck. Een geweldig cadeau voor LEGO® fans, BrickHeadz™ verzamelaars en Disney fans van 10 jaar en ouder. Dit 110-delige model is ca. 10 cm hoog en bestaat uit een gedetailleerde figuur met een bouwbare strik en een nieuw gedrukt detail op het bovenlichaam, plus een BrickHeadz™ standaard."
9,"https://www.lego.com/nl-nl/product/lion-dance-guy-40540","10+",239,"Leeuwendanser","€9,99","https://www.lego.com/cdn/cs/set/assets/blt29d71e0f0a2b3015/40540.png","Vier Chinees Nieuwjaar met deze leuke LEGO® BrickHeadz™ Leeuwendanser (40540). Dit kleurrijke en schitterend versierde model is geïnspireerd op de traditionele Chinese leeuwendans. De bek is beweegbaar om de uitdrukking van de leeuw te veranderen. Inclusief 2 trommels en een rode lantaarn. Geschikt voor kinderen vanaf 10 jaar, om mee te spelen of neer te zetten op de bijgeleverde bouwplaat. Leeuwendanser (40540) in LEGO® BrickHeadz™ stijl - een bouwmodel geïnspireerd op de traditionele Chinese leeuwendans, voor een extra vrolijk tintje tijdens de viering van Chinees Nieuwjaar Cadeau voor kinderen - een leuke en snelle bouwervaring voor fans van de Chinese cultuur van 10 jaar en ouder, die door middel van stapsgewijze instructies door het bouwproces worden geleid Spelen en neerzetten - het leeuwenmodel is ca. 12 cm hoog en is inclusief 2 trommels en een rode lantaarn. Kinderen kunnen ermee spelen of het vol trots neerzetten op de bouwplaat"
10,"https://www.lego.com/nl-nl/product/disney-100th-celebration-40622","10+",501,"Disney's 100e verjaardag","€39,99","https://www.lego.com/cdn/cs/set/assets/blt53f90da1418512e7/40622.png","Kinderen vanaf 10 jaar krijgen Disney magie in handen met deze LEGO® BrickHeadz™ | Disney's 100e verjaardag (40622) set, bestaande uit Oswald het Gelukskonijn (Disney's eerste personage), Mickey Mouse (de eerste animatiefiguur ooit), Sneeuwwitje (de ster uit Disney's eerste film) en Tinkelbel (de eerste Disneyland mascotte). Zet de modellen in elkaar, plaats ze elk op hun eigen bouwplaat en geef ze een mooi plekje. Sneeuwwitje's lichaam kan ook nog worden versierd. Een superleuk verzamelcadeau voor echte Disney fans! Klassieke personages - de bouwbare BrickHeadz™ LEGO® figuren van Disney's Oswald het Gelukskonijn, Mickey Mouse, Sneeuwwitje en Tinkelbel in deze Disney's 100e verjaardag (40622) set zijn klaar om te worden bewonderd Sterrenparade - deze 501-delige LEGO® BrickHeadz™ verzamelset voor kinderen vanaf 10 jaar is inclusief stapsgewijze bouwinstructies en bouwplaten om de modellen op een mooi plekje neer te zetten. Een superleuk cadeau voor echte Disney fans Afmetingen - Oswald, Mickey Mouse, Sneeuwwitje en Tinkelbel zijn allemaal ca. 9 cm hoog"
